13541A0334,RT21032,MECHANICS OF SOLIDS,16,5,0
13541A0338,RT21033,THERMODYNAMICS,11,34,3
13541A0339,RT21033,THERMODYNAMICS,14,34,3
13541A0403,RT21044,SIGNALS AND SYSTEMS,19,2,0
,,,,,
13541A0404,RT21041,ELECTRONIC DEVICES AND CIRCUITS,11,13,0
13541A0404,RT21044,SIGNALS AND SYSTEMS,16,-1,0
13541A0404,RT21045,ELECTRICAL TECHNOLOGY,17,6,0
13541A0411,RT21041,ELECTRONIC DEVICES AND CIRCUITS,17,10,0
13541A0411,RT21044,SIGNALS AND SYSTEMS,22,35,3
13541A0423,RT21044,SIGNALS AND SYSTEMS,18,0,0
13541A0429,RT21044,SIGNALS AND SYSTEMS,23,12,0
13541A0502,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,16,8,0
13541A0502,RT21042,DATA STRUCTURES,17,0,0
13541A0502,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,21,7,0
13541A0502,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,18,15,0
13541A0502,RT21053,DIGITAL LOGIC DESIGN,19,3,0
13541A0504,RT21051,OBJECT ORIENTED PROGRAMMING THROUGH C++,19,0,0
13541A0507,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,23,26,3
13541A0508,RT21052,MATHEMATICAL FOUNDATIONS OF COMLUTER SCI,19,10,0
13545A0403,R21042,NETWORK ANALYSIS,14,5,0
13545A0403,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,19,12,0
13545A0411,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,18,13,0
13545A0414,R21022,MANAGERIAL ECONOMICS AND FINANCIAL ANALY,14,40,4
13545A0414,R21026,ELECTRONIC DEVICES AND CIRCUITS,13,8,0
13545A0414,R21041,ELECTRICAL TECHNOLOGY,16,34,4
13545A0414,R21043,PROBABILITY THEORY & STOCHASTIC PROCESSE,19,46,4
13545A0414,R21044,SIGNALS & SYSTEMS,15,0,0
14541A0228,RT21025,ELECTRO MAGNETIC FIELDS,16,-1,0
14541A0228,RT21026,ELECTRICAL MACHINES-I,21,-1,0
14541A0235,RT21026,ELECTRICAL MACHINES-I,21,14,0
14541A0236,RT21026,ELECTRICAL MACHINES-I,23,33,3
14541A0240,RT21025,ELECTRO MAGNETIC FIELDS,14,17,0
14541A0240,RT21026,ELECTRICAL MACHINES-I,22,33,3
14541A0305,RT21031,METALLURGY & MATERIALS SCIENCE,13,18,0
14541A0305,RT21033,THERMODYNAMICS,23,32,3
14541A0311,RT21032,MECHANICS OF SOLIDS,20,10,0
14541A0311,RT21033,THERMODYNAMICS,23,15,0
14541A0313,RT21032,MECHANICS OF SOLIDS,16,9,0
14541A0313,RT21033,THERMODYNAMICS,18,42,3
14541A0316,RT21032,MECHANICS OF SOLIDS,19,3,0
14541A0316,RT21033,THERMODYNAMICS,21,31,3
14541A0319,RT21011,BASIC ELECTRICAL & ELECTRONICS ENGINEERI,19,30,3
14541A0319,RT21031,METALLURGY & MATERIALS SCIENCE,17,12,0
14541A0319,RT21032,MECHANICS OF SOLIDS,17,29,3
14541A0319,RT21033,THERMODYNAMICS,16,47,3
14541A0319,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,17,17,0
14541A0319,RT21035,COMPUTER AIDED ENGINEERING DRAWING PRACT,16,44,3
14541A0319,RT21036,BASIC ELECTRICAL AND ELECTRONICS ENGINEE,21,43,2
14541A0319,RT21037,MECHANICS OF SOLIDS & METALLURGY LAB,20,42,2
14541A0324,RT21031,METALLURGY & MATERIALS SCIENCE,13,2,0
14541A0324,RT21032,MECHANICS OF SOLIDS,15,8,0
14541A0326,RT21033,THERMODYNAMICS,18,34,3
14541A0327,RT21031,METALLURGY & MATERIALS SCIENCE,15,27,3
14541A0327,RT21032,MECHANICS OF SOLIDS,17,24,3
14541A0327,RT21034,MANAGERIAL ECONOMICS & FINANCIAL ANALYSI,24,29,3
,,,,,
14541A0330,RT21032,MECHANICS OF SOLIDS,16,6,0
14541A0332,RT21031,METALLURGY & MATERIALS SCIENCE,12,28,3
14541A0332,RT21032,MECHANICS OF SOLIDS,15,8,0
14541A0334,RT21032,MECHANICS OF SOLIDS,24,6,0
14541A0335,RT21032,MECHANICS OF SOLIDS,23,30,3
14541A0335,RT21033,THERMODYNAMICS,21,25,3
14541A0336,RT21032,MECHANICS OF SOLIDS,20,24,3
14541A0342,RT21031,METALLURGY & MATERIALS SCIENCE,12,2,0
14541A0342,RT21033,THERMODYNAMICS,14,36,3
