14545A0309,RT32037A,REFRIGERATION & AIR CONDITIONING,26,8,0
14545A0401,RT32042,DIGITAL SIGNAL PROCESSING,23,7,0
14545A0401,RT32043,DIGITAL COMMUNICATIONS,16,24,3
14545A0401,RT32044,MICROWAVE ENGINEERING,15,28,3
14545A0404,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,30,3
,,,,,
14545A0404,RT32042,DIGITAL SIGNAL PROCESSING,19,10,0
14545A0404,RT32043,DIGITAL COMMUNICATIONS,19,24,3
14545A0405,RT32043,DIGITAL COMMUNICATIONS,22,32,3
14545A0407,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,18,35,3
14545A0407,RT32042,DIGITAL SIGNAL PROCESSING,23,4,0
14545A0407,RT32043,DIGITAL COMMUNICATIONS,18,11,0
14545A0407,RT32044,MICROWAVE ENGINEERING,16,29,3
14545A0407,RT32045A,BIO MEDICAL ENGINEERING,17,-1,0
14545A0409,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,32,3
14545A0409,RT32042,DIGITAL SIGNAL PROCESSING,20,8,0
14545A0409,RT32043,DIGITAL COMMUNICATIONS,18,5,0
14545A0409,RT32044,MICROWAVE ENGINEERING,19,24,3
14545A0409,RT32045A,BIO MEDICAL ENGINEERING,18,0,0
14545A0410,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,33,3
14545A0410,RT32042,DIGITAL SIGNAL PROCESSING,19,12,0
14545A0410,RT32043,DIGITAL COMMUNICATIONS,20,12,0
14545A0410,RT32044,MICROWAVE ENGINEERING,17,29,3
14545A0410,RT32045A,BIO MEDICAL ENGINEERING,21,5,0
14545A0412,RT32042,DIGITAL SIGNAL PROCESSING,19,10,0
14545A0412,RT32043,DIGITAL COMMUNICATIONS,21,8,0
14545A0414,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,35,3
14545A0414,RT32042,DIGITAL SIGNAL PROCESSING,23,12,0
14545A0414,RT32043,DIGITAL COMMUNICATIONS,20,24,3
14545A0414,RT32045A,BIO MEDICAL ENGINEERING,18,14,0
14545A0415,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,18,32,3
14545A0415,RT32042,DIGITAL SIGNAL PROCESSING,21,12,0
14545A0415,RT32043,DIGITAL COMMUNICATIONS,20,14,0
14545A0415,RT32045A,BIO MEDICAL ENGINEERING,17,6,0
14545A0417,RT32042,DIGITAL SIGNAL PROCESSING,20,13,0
14545A0417,RT32043,DIGITAL COMMUNICATIONS,17,17,0
14545A0417,RT32044,MICROWAVE ENGINEERING,19,30,3
