14541A0363,RT32035,HEAT TRANSFER,14,16,0
14541A0363,RT32037A,REFRIGERATION & AIR CONDITIONING,16,20,0
14541A0364,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,29,3
14541A0364,RT32034,ROBOTICS,22,19,0
14541A0364,RT32035,HEAT TRANSFER,17,16,0
14541A0365,RT32031,OPERATIONS RESEARCH,21,0,0
14541A0366,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,28,3
14541A0366,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,17,11,0
14541A0366,RT32037A,REFRIGERATION & AIR CONDITIONING,16,32,3
14541A0369,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,0,0
14541A0369,RT32033,DESIGN OF MACHINE MEMBERS  II,26,12,0
14541A0369,RT32034,ROBOTICS,21,16,0
14541A0369,RT32035,HEAT TRANSFER,25,31,3
14541A0370,RT32031,OPERATIONS RESEARCH,14,10,0
14541A0370,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0
14541A0370,RT32034,ROBOTICS,14,14,0
14541A0374,RT32031,OPERATIONS RESEARCH,27,11,0
14541A0374,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,11,0
14541A0374,RT32034,ROBOTICS,26,10,0
14541A0375,RT32034,ROBOTICS,20,16,0
14541A0375,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,20,31,3
14541A0375,RT32037A,REFRIGERATION & AIR CONDITIONING,16,34,3
14541A0377,RT32035,HEAT TRANSFER,22,48,3
14541A0377,RT32037A,REFRIGERATION & AIR CONDITIONING,18,32,3
14541A0378,RT32031,OPERATIONS RESEARCH,24,13,0
14541A0378,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,12,0
14541A0378,RT32033,DESIGN OF MACHINE MEMBERS  II,19,18,0
14541A0378,RT32034,ROBOTICS,21,11,0
14541A0378,RT32035,HEAT TRANSFER,11,32,3
14541A0378,RT32037A,REFRIGERATION & AIR CONDITIONING,13,27,3
14541A0379,RT32031,OPERATIONS RESEARCH,16,9,0
14541A0379,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,0,0
14541A0379,RT32033,DESIGN OF MACHINE MEMBERS  II,19,19,0
14541A0379,RT32034,ROBOTICS,23,14,0
14541A0383,RT32031,OPERATIONS RESEARCH,22,15,0
14541A0383,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,0,0
14541A0383,RT32033,DESIGN OF MACHINE MEMBERS  II,18,13,0
