14541A0435,R13210,ENGG. MECHANICS,21,9,0
14541A0435,R13211,NETWORK ANALYSIS,21,10,0
14541A0438,R13202,MATHEMATICS-III,14,-1,0
14541A0438,R13204,ENGG. CHEMISTRY,11,-1,0
14541A0438,R13205,C PROGRAMMING,20,24,3
14541A0438,R13210,ENGG. MECHANICS,21,6,0
14541A0438,R13211,NETWORK ANALYSIS,21,12,0
14541A0446,R13205,C PROGRAMMING,5,22,0
14541A0446,R13211,NETWORK ANALYSIS,17,21,0
14541A0456,R13202,MATHEMATICS-III,14,8,0
14541A0456,R13210,ENGG. MECHANICS,24,0,0
14541A0456,R13211,NETWORK ANALYSIS,22,10,0
14541A0459,R13211,NETWORK ANALYSIS,23,8,0
14541A0463,R13210,ENGG. MECHANICS,15,0,0
14541A0472,R13202,MATHEMATICS-III,12,7,0
14541A0472,R13204,ENGG. CHEMISTRY,12,10,0
14541A0472,R13205,C PROGRAMMING,19,19,0
14541A0472,R13211,NETWORK ANALYSIS,21,14,0
14541A0473,R13204,ENGG. CHEMISTRY,19,-1,0
14541A0473,R13205,C PROGRAMMING,18,-1,0
14541A0475,R13205,C PROGRAMMING,15,31,3
14541A0476,R13204,ENGG. CHEMISTRY,13,16,0
14541A0482,R13204,ENGG. CHEMISTRY,15,10,0
14541A0482,R13211,NETWORK ANALYSIS,22,19,0
14541A0505,R13203,ENGG. PHYSICS,18,21,0
14541A0510,R13203,ENGG. PHYSICS,13,11,0
14541A0512,R13203,ENGG. PHYSICS,18,-1,0
14541A0517,R13203,ENGG. PHYSICS,16,10,0
14541A0517,R13209,ENGG. DRAWING,27,-1,0
14541A0522,R13203,ENGG. PHYSICS,18,9,0
14541A0526,R13202,MATHEMATICS-III,13,0,0
14541A0529,R13203,ENGG. PHYSICS,16,7,0
14541A0541,R13202,MATHEMATICS-III,15,25,3
14541A0541,R13203,ENGG. PHYSICS,19,29,3
14541A0545,R13203,ENGG. PHYSICS,19,11,0
14541A0547,R13203,ENGG. PHYSICS,5,13,0
14541A0549,R13202,MATHEMATICS-III,17,14,0
14PA1A0262,R13210,ENGG. MECHANICS,18,0,0
14PA1A0262,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,15,6,0
15541A0201,R13205,C PROGRAMMING,21,29,3
15541A0201,R13210,ENGG. MECHANICS,22,8,0
15541A0201,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,29,3
15541A0202,R13202,MATHEMATICS-III,15,-1,0
15541A0202,R13205,C PROGRAMMING,17,20,0
15541A0202,R13210,ENGG. MECHANICS,17,0,0
15541A0204,R13202,MATHEMATICS-III,21,12,0
15541A0204,R13204,ENGG. CHEMISTRY,22,17,0
15541A0204,R13210,ENGG. MECHANICS,23,0,0
15541A0205,R13201,ENGLISH-II,23,29,3
15541A0205,R13205,C PROGRAMMING,25,16,0
15541A0205,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,20,0
15541A0207,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,34,3
15541A0209,R13204,ENGG. CHEMISTRY,22,34,3
15541A0209,R13205,C PROGRAMMING,25,24,3
15541A0211,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,36,3
15541A0212,R13202,MATHEMATICS-III,16,7,0
15541A0212,R13204,ENGG. CHEMISTRY,18,13,0
15541A0219,R13205,C PROGRAMMING,21,29,3
15541A0221,R13204,ENGG. CHEMISTRY,23,39,3
15541A0221,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,-1,0
15541A0224,R13205,C PROGRAMMING,26,-1,0
15541A0225,R13204,ENGG. CHEMISTRY,22,-1,0
15541A0225,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,-1,0
15541A0229,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,17,0
15541A0232,R13210,ENGG. MECHANICS,21,0,0
15541A0234,R13210,ENGG. MECHANICS,20,17,0
15541A0234,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,31,3
15541A0239,R13205,C PROGRAMMING,27,21,0
15541A0241,R13202,MATHEMATICS-III,14,0,0
15541A0241,R13205,C PROGRAMMING,20,21,0
15541A0242,R13201,ENGLISH-II,23,22,0
15541A0242,R13202,MATHEMATICS-III,16,0,0
15541A0242,R13204,ENGG. CHEMISTRY,14,6,0
15541A0242,R13205,C PROGRAMMING,22,15,0
15541A0242,R13210,ENGG. MECHANICS,17,7,0
15541A0242,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,9,0
15541A0245,R13205,C PROGRAMMING,20,21,0
15541A0245,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,33,3
15541A0246,R13204,ENGG. CHEMISTRY,24,14,0
15541A0248,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,23,-1,0
15541A0249,R13204,ENGG. CHEMISTRY,16,-1,0
15541A0249,R13205,C PROGRAMMING,27,-1,0
15541A0249,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,-1,0
15541A0250,R13205,C PROGRAMMING,22,14,0
15541A0250,R13210,ENGG. MECHANICS,19,0,0
15541A0250,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,11,0
15541A0256,R13204,ENGG. CHEMISTRY,13,13,0
15541A0256,R13210,ENGG. MECHANICS,17,0,0
15541A0257,R13202,MATHEMATICS-III,21,14,0
15541A0257,R13210,ENGG. MECHANICS,26,-1,0
15541A0257,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,-1,0
15541A0258,R13202,MATHEMATICS-III,20,9,0
15541A0258,R13205,C PROGRAMMING,25,21,0
15541A0302,R13203,ENGG. PHYSICS,16,30,3
15541A0305,R13209,ENGG. DRAWING,23,29,3
15541A0312,R13203,ENGG. PHYSICS,18,31,3
15541A0320,R13203,ENGG. PHYSICS,16,6,0
15541A0328,R13203,ENGG. PHYSICS,18,0,0
15541A0355,R13203,ENGG. PHYSICS,19,19,0
15541A0358,R13202,MATHEMATICS-III,19,0,0
15541A0358,R13203,ENGG. PHYSICS,16,-1,0
15541A0358,R13207,MATHEMATICS-II (MM),16,0,0
15541A0358,R13209,ENGG. DRAWING,24,20,0
15541A0362,R13203,ENGG. PHYSICS,14,-1,0
15541A0364,R13202,MATHEMATICS-III,16,13,0
15541A0364,R13203,ENGG. PHYSICS,15,0,0
15541A0364,R13207,MATHEMATICS-II (MM),15,7,0
15541A0364,R13209,ENGG. DRAWING,20,29,3
15541A0372,R13202,MATHEMATICS-III,16,0,0
15541A0372,R13207,MATHEMATICS-II (MM),16,0,0
15541A0372,R13209,ENGG. DRAWING,26,23,0
15541A0375,R13203,ENGG. PHYSICS,14,-1,0
15541A0380,R13203,ENGG. PHYSICS,12,0,0
15541A0380,R13207,MATHEMATICS-II (MM),14,-1,0
15541A0380,R13209,ENGG. DRAWING,24,-1,0
15541A0381,R13202,MATHEMATICS-III,16,-1,0
15541A0381,R13209,ENGG. DRAWING,27,33,3
15541A0386,R13203,ENGG. PHYSICS,17,0,0
15541A0393,R13207,MATHEMATICS-II (MM),14,0,0
15541A0393,R13209,ENGG. DRAWING,22,0,0
15541A0402,R13211,NETWORK ANALYSIS,19,19,0
15541A0407,R13204,ENGG. CHEMISTRY,22,17,0
15541A0407,R13210,ENGG. MECHANICS,25,7,0
15541A0411,R13204,ENGG. CHEMISTRY,14,-1,0
15541A0411,R13210,ENGG. MECHANICS,20,8,0
15541A0411,R13211,NETWORK ANALYSIS,23,0,0
15541A0413,R13211,NETWORK ANALYSIS,22,13,0
15541A0417,R13211,NETWORK ANALYSIS,21,20,0
