14541A0394,R13202,MATHEMATICS-III,12,17,0
14541A0394,R13207,MATHEMATICS-II (MM),15,20,0
14541A0394,R13209,ENGG. DRAWING,17,18,0
14541A0403,R13202,MATHEMATICS-III,17,6,0
14541A0403,R13210,ENGG. MECHANICS,21,13,0
14541A0410,R13202,MATHEMATICS-III,16,17,0
14541A0410,R13211,NETWORK ANALYSIS,23,12,0
14541A0412,R13204,ENGG. CHEMISTRY,19,42,3
14541A0412,R13211,NETWORK ANALYSIS,24,15,0
14541A0416,R13211,NETWORK ANALYSIS,19,7,0
14541A0417,R13204,ENGG. CHEMISTRY,9,24,0
14541A0417,R13210,ENGG. MECHANICS,18,30,3
14541A0417,R13211,NETWORK ANALYSIS,19,0,0
14541A0420,R13211,NETWORK ANALYSIS,21,-1,0
14541A0421,R13204,ENGG. CHEMISTRY,13,-1,0
14541A0425,R13210,ENGG. MECHANICS,21,30,3
14541A0433,R13202,MATHEMATICS-III,17,17,0
14541A0434,R13202,MATHEMATICS-III,15,11,0
14541A0434,R13204,ENGG. CHEMISTRY,12,39,3
14541A0434,R13210,ENGG. MECHANICS,22,19,0
14541A0434,R13211,NETWORK ANALYSIS,23,7,0
14541A0435,R13204,ENGG. CHEMISTRY,8,16,0
14541A0435,R13205,C PROGRAMMING,20,11,0
14541A0435,R13210,ENGG. MECHANICS,21,14,0
14541A0435,R13211,NETWORK ANALYSIS,21,19,0
14541A0437,R13204,ENGG. CHEMISTRY,9,35,3
14541A0440,R13202,MATHEMATICS-III,16,13,0
14541A0440,R13210,ENGG. MECHANICS,19,0,0
14541A0440,R13211,NETWORK ANALYSIS,24,16,0
14541A0442,R13202,MATHEMATICS-III,15,11,0
14541A0446,R13205,C PROGRAMMING,5,15,0
14541A0446,R13211,NETWORK ANALYSIS,17,8,0
14541A0446,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,0,47,2
14541A0446,R13217,ENGINEERING CHEMISTRY LAB,24,48,2
14541A0446,R13218,C PROGRAMMING LAB,0,45,2
14541A0456,R13202,MATHEMATICS-III,14,18,0
14541A0456,R13204,ENGG. CHEMISTRY,16,46,3
14541A0459,R13210,ENGG. MECHANICS,20,29,3
14541A0459,R13211,NETWORK ANALYSIS,23,0,0
14541A0463,R13210,ENGG. MECHANICS,15,7,0
14541A0463,R13211,NETWORK ANALYSIS,24,29,3
14541A0476,R13204,ENGG. CHEMISTRY,13,18,0
14541A0476,R13211,NETWORK ANALYSIS,22,38,3
14541A0482,R13204,ENGG. CHEMISTRY,15,9,0
14541A0501,R13202,MATHEMATICS-III,14,36,3
14541A0505,R13203,ENGG. PHYSICS,18,22,0
14541A0506,R13202,MATHEMATICS-III,13,31,3
14541A0506,R13207,MATHEMATICS-II (MM),14,28,3
14541A0510,R13202,MATHEMATICS-III,15,25,3
14541A0510,R13203,ENGG. PHYSICS,13,11,0
14541A0510,R13207,MATHEMATICS-II (MM),13,33,3
14541A0517,R13203,ENGG. PHYSICS,16,12,0
14541A0517,R13209,ENGG. DRAWING,27,11,0
14541A0526,R13202,MATHEMATICS-III,13,-1,0
14541A0526,R13209,ENGG. DRAWING,21,14,0
14541A0529,R13203,ENGG. PHYSICS,16,18,0
14541A0533,R13203,ENGG. PHYSICS,11,0,0
14541A0534,R13209,ENGG. DRAWING,29,18,0
14541A0541,R13202,MATHEMATICS-III,15,18,0
14541A0541,R13203,ENGG. PHYSICS,19,21,0
14541A0545,R13203,ENGG. PHYSICS,19,6,0
14541A0547,R13203,ENGG. PHYSICS,5,9,0
14541A0549,R13202,MATHEMATICS-III,17,20,0
15541A0201,R13205,C PROGRAMMING,21,-1,0
15541A0201,R13210,ENGG. MECHANICS,22,-1,0
15541A0201,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,21,-1,0
15541A0207,R13204,ENGG. CHEMISTRY,25,49,3
15541A0207,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,13,0
15541A0209,R13204,ENGG. CHEMISTRY,22,18,0
15541A0209,R13205,C PROGRAMMING,25,0,0
15541A0211,R13204,ENGG. CHEMISTRY,24,35,3
15541A0211,R13210,ENGG. MECHANICS,28,24,3
15541A0211,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,27,13,0
15541A0212,R13202,MATHEMATICS-III,16,0,0
15541A0212,R13204,ENGG. CHEMISTRY,18,-1,0
15541A0212,R13205,C PROGRAMMING,21,0,0
15541A0219,R13205,C PROGRAMMING,21,-1,0
15541A0220,R13205,C PROGRAMMING,24,13,0
15541A0222,R13204,ENGG. CHEMISTRY,23,53,3
15541A0226,R13204,ENGG. CHEMISTRY,17,44,3
15541A0229,R13204,ENGG. CHEMISTRY,25,58,3
15541A0229,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,30,12,0
15541A0232,R13210,ENGG. MECHANICS,21,9,0
15541A0233,R13202,MATHEMATICS-III,16,0,0
15541A0233,R13205,C PROGRAMMING,20,-1,0
15541A0234,R13204,ENGG. CHEMISTRY,16,25,3
15541A0234,R13210,ENGG. MECHANICS,20,7,0
15541A0234,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,6,0
15541A0237,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,24,20,0
15541A0239,R13204,ENGG. CHEMISTRY,14,29,3
15541A0239,R13205,C PROGRAMMING,27,0,0
15541A0241,R13202,MATHEMATICS-III,14,-1,0
15541A0241,R13204,ENGG. CHEMISTRY,14,37,3
15541A0243,R13205,C PROGRAMMING,22,8,0
15541A0244,R13205,C PROGRAMMING,26,-1,0
15541A0244,R13210,ENGG. MECHANICS,24,-1,0
15541A0245,R13204,ENGG. CHEMISTRY,19,40,3
15541A0245,R13205,C PROGRAMMING,20,0,0
15541A0245,R13210,ENGG. MECHANICS,22,29,3
15541A0248,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,23,14,0
15541A0250,R13202,MATHEMATICS-III,16,0,0
15541A0250,R13204,ENGG. CHEMISTRY,17,56,3
15541A0250,R13205,C PROGRAMMING,22,0,0
15541A0251,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,20,30,3
15541A0254,R13204,ENGG. CHEMISTRY,20,41,3
15541A0254,R13205,C PROGRAMMING,24,14,0
15541A0256,R13201,ENGLISH-II,22,38,3
15541A0256,R13210,ENGG. MECHANICS,17,17,0
15541A0256,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,25,10,0
15541A0257,R13202,MATHEMATICS-III,21,6,0
15541A0257,R13210,ENGG. MECHANICS,26,-1,0
15541A0257,R13212,ELECTRICAL CIRCUITS ANALYSIS-I,19,-1,0
15541A0312,R13203,ENGG. PHYSICS,18,12,0
15541A0315,R13202,MATHEMATICS-III,23,10,0
15541A0315,R13203,ENGG. PHYSICS,16,7,0
15541A0315,R13209,ENGG. DRAWING,28,37,3
15541A0317,R13203,ENGG. PHYSICS,18,7,0
15541A0329,R13201,ENGLISH-II,22,27,3
15541A0329,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,18,7,0
15541A0329,R13209,ENGG. DRAWING,25,30,3
15541A0331,R13201,ENGLISH-II,19,33,3
15541A0331,R13202,MATHEMATICS-III,16,7,0
15541A0331,R13203,ENGG. PHYSICS,17,0,0
15541A0331,R13207,MATHEMATICS-II (MM),14,6,0
15541A0331,R13209,ENGG. DRAWING,20,30,3
15541A0333,R13201,ENGLISH-II,20,45,3
15541A0333,R13203,ENGG. PHYSICS,16,0,0
15541A0333,R13207,MATHEMATICS-II (MM),16,0,0
15541A0342,R13201,ENGLISH-II,0,-1,0
15541A0342,R13202,MATHEMATICS-III,0,-1,0
15541A0342,R13203,ENGG. PHYSICS,0,-1,0
15541A0342,R13207,MATHEMATICS-II (MM),0,-1,0
15541A0342,R13208,PROFESSIONAL ETHICS & HUMAN VALUES,0,-1,0
15541A0342,R13209,ENGG. DRAWING,20,-1,0
15541A0342,R13213,ENGLISH-COMMUNICATION SKILLS LAB-II,15,47,2
15541A0342,R13214,ENGINEERING PHYSICS LAB,15,37,2
15541A0342,R13216,ENGINEERING WORKSHOP & IT WORKSHOP,15,41,2
15541A0343,R13202,MATHEMATICS-III,16,-1,0
15541A0343,R13207,MATHEMATICS-II (MM),16,28,3
15541A0343,R13209,ENGG. DRAWING,30,-1,0
15541A0349,R13202,MATHEMATICS-III,21,6,0
15541A0349,R13207,MATHEMATICS-II (MM),15,17,0
15541A0355,R13203,ENGG. PHYSICS,19,7,0
15541A0356,R13202,MATHEMATICS-III,18,13,0
15541A0356,R13203,ENGG. PHYSICS,16,9,0
15541A0356,R13209,ENGG. DRAWING,29,31,3
15541A0357,R13202,MATHEMATICS-III,16,9,0
15541A0357,R13207,MATHEMATICS-II (MM),14,16,0
15541A0357,R13209,ENGG. DRAWING,21,14,0
15541A0359,R13203,ENGG. PHYSICS,21,-1,0
15541A0362,R13203,ENGG. PHYSICS,14,0,0
15541A0363,R13207,MATHEMATICS-II (MM),17,30,3
15541A0363,R13209,ENGG. DRAWING,27,40,3
15541A0364,R13203,ENGG. PHYSICS,15,-1,0
15541A0364,R13207,MATHEMATICS-II (MM),15,-1,0
15541A0364,R13209,ENGG. DRAWING,20,-1,0
15541A0365,R13202,MATHEMATICS-III,20,0,0
15541A0365,R13207,MATHEMATICS-II (MM),15,5,0
15541A0365,R13209,ENGG. DRAWING,20,32,3
15541A0375,R13203,ENGG. PHYSICS,14,15,0
15541A0380,R13203,ENGG. PHYSICS,12,0,0
15541A0380,R13207,MATHEMATICS-II (MM),14,7,0
15541A0380,R13209,ENGG. DRAWING,24,-1,0
15541A0384,R13201,ENGLISH-II,25,34,3
15541A0384,R13203,ENGG. PHYSICS,15,9,0
15541A0384,R13207,MATHEMATICS-II (MM),14,0,0
15541A0387,R13201,ENGLISH-II,28,40,3
15541A0393,R13203,ENGG. PHYSICS,13,0,0
15541A0393,R13207,MATHEMATICS-II (MM),14,0,0
15541A0393,R13209,ENGG. DRAWING,22,-1,0
15541A0409,R13211,NETWORK ANALYSIS,26,23,0
15541A0411,R13204,ENGG. CHEMISTRY,14,22,0
15541A0411,R13210,ENGG. MECHANICS,20,0,0
15541A0411,R13211,NETWORK ANALYSIS,23,9,0
15541A0412,R13205,C PROGRAMMING,23,11,0
15541A0412,R13211,NETWORK ANALYSIS,18,14,0
15541A0413,R13204,ENGG. CHEMISTRY,18,24,3
15541A0413,R13210,ENGG. MECHANICS,21,36,3
15541A0413,R13211,NETWORK ANALYSIS,22,-1,0
15541A0427,R13204,ENGG. CHEMISTRY,18,13,0
15541A0427,R13211,NETWORK ANALYSIS,22,0,0
15541A0428,R13210,ENGG. MECHANICS,28,41,3
15541A0446,R13204,ENGG. CHEMISTRY,19,23,0
15541A0446,R13205,C PROGRAMMING,26,12,0
15541A0446,R13211,NETWORK ANALYSIS,18,12,0
15541A0447,R13204,ENGG. CHEMISTRY,23,39,3
15541A0451,R13211,NETWORK ANALYSIS,26,11,0
