14541A0305,RT31031,DYNAMICS OF MACHINERY,18,31,3
14541A0443,RT31043,CONTROL SYSTEMS,20,43,3
14541A0520,RT31055,OPERATING SYSTEMS,22,39,3
15545A0403,RT31043,CONTROL SYSTEMS,26,36,3
