12541A0301,R42031,INTERACTIVE COMPUTER GRAPHICS,22,37,4
12541A0301,R42034,AUTOMATION IN MANUFACTURING,19,44,4
12541A0301,R42039,POWER PLANT ENGINEERING,24,47,4
12541A0301,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,37,4
12541A0301,R4203E,PROJECT WORK,48,127,12
12541A0302,R42031,INTERACTIVE COMPUTER GRAPHICS,21,30,4
12541A0302,R42034,AUTOMATION IN MANUFACTURING,22,14,0
12541A0302,R42039,POWER PLANT ENGINEERING,23,-1,0
12541A0302,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,-1,0
12541A0302,R4203E,PROJECT WORK,48,129,12
12541A0303,R42031,INTERACTIVE COMPUTER GRAPHICS,21,49,4
12541A0303,R42034,AUTOMATION IN MANUFACTURING,21,40,4
12541A0303,R42039,POWER PLANT ENGINEERING,24,59,4
12541A0303,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,31,4
12541A0303,R4203E,PROJECT WORK,49,129,12
12541A0304,R42031,INTERACTIVE COMPUTER GRAPHICS,21,33,4
12541A0304,R42034,AUTOMATION IN MANUFACTURING,17,44,4
12541A0304,R42039,POWER PLANT ENGINEERING,24,26,4
12541A0304,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,23,61,4
12541A0304,R4203E,PROJECT WORK,47,118,12
12541A0305,R42031,INTERACTIVE COMPUTER GRAPHICS,22,30,4
12541A0305,R42034,AUTOMATION IN MANUFACTURING,23,36,4
12541A0305,R42039,POWER PLANT ENGINEERING,23,39,4
12541A0305,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,22,26,4
12541A0305,R4203E,PROJECT WORK,46,124,12
12541A0307,R42031,INTERACTIVE COMPUTER GRAPHICS,21,46,4
12541A0307,R42034,AUTOMATION IN MANUFACTURING,19,33,4
12541A0307,R42039,POWER PLANT ENGINEERING,23,50,4
12541A0307,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,20,4,0
12541A0307,R4203E,PROJECT WORK,50,130,12
12541A0308,R42031,INTERACTIVE COMPUTER GRAPHICS,22,46,4
12541A0308,R42034,AUTOMATION IN MANUFACTURING,21,48,4
12541A0308,R42039,POWER PLANT ENGINEERING,24,47,4
12541A0308,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,20,38,4
12541A0308,R4203E,PROJECT WORK,47,127,12
12541A0309,R42031,INTERACTIVE COMPUTER GRAPHICS,19,26,4
12541A0309,R42034,AUTOMATION IN MANUFACTURING,17,39,4
12541A0309,R42039,POWER PLANT ENGINEERING,21,38,4
12541A0309,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,0,57,4
12541A0309,R4203E,PROJECT WORK,47,126,12
12541A0310,R42031,INTERACTIVE COMPUTER GRAPHICS,19,22,0
12541A0310,R42034,AUTOMATION IN MANUFACTURING,18,35,4
12541A0310,R42039,POWER PLANT ENGINEERING,21,53,4
12541A0310,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,4,36,4
12541A0310,R4203E,PROJECT WORK,45,125,12
12541A0311,R42031,INTERACTIVE COMPUTER GRAPHICS,23,37,4
12541A0311,R42034,AUTOMATION IN MANUFACTURING,19,26,4
12541A0311,R42039,POWER PLANT ENGINEERING,23,39,4
12541A0311,R4203A,PRODUCTION PLANNING & CONTROL (COMMON TO ME,20,8,0
12541A0311,R4203E,PROJECT WORK,46,119,12
12541A0312,R42031,INTERACTIVE COMPUTER GRAPHICS,21,29,4
