16541A0211,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0212,R1631021,POWER SYSTEMS-II,B,3
16541A0212,R1631022,RENEWABLE ENERGY SOURCES,B,3
16541A0212,R1631023,SIGNALS AND SYSTEMS,D,3
16541A0212,R1631024,PULSE & DIGITAL CIRCUITS,B,3
16541A0212,R1631025,POWER ELECTRONICS,C,3
16541A0212,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0212,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0212,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0214,R1631021,POWER SYSTEMS-II,B,3
16541A0214,R1631022,RENEWABLE ENERGY SOURCES,B,3
16541A0214,R1631023,SIGNALS AND SYSTEMS,S,3
16541A0214,R1631024,PULSE & DIGITAL CIRCUITS,S,3
16541A0214,R1631025,POWER ELECTRONICS,B,3
16541A0214,R1631026,ELECTRICAL MACHINES-II LABORATORY,O,2
16541A0214,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0214,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0215,R1631021,POWER SYSTEMS-II,D,3
16541A0215,R1631022,RENEWABLE ENERGY SOURCES,D,3
16541A0215,R1631023,SIGNALS AND SYSTEMS,D,3
16541A0215,R1631024,PULSE & DIGITAL CIRCUITS,D,3
16541A0215,R1631025,POWER ELECTRONICS,C,3
16541A0215,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0215,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0215,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0216,R1631021,POWER SYSTEMS-II,F,0
16541A0216,R1631022,RENEWABLE ENERGY SOURCES,B,3
16541A0216,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0216,R1631024,PULSE & DIGITAL CIRCUITS,D,3
16541A0216,R1631025,POWER ELECTRONICS,D,3
16541A0216,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0216,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0216,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0217,R1631021,POWER SYSTEMS-II,D,3
16541A0217,R1631022,RENEWABLE ENERGY SOURCES,B,3
16541A0217,R1631023,SIGNALS AND SYSTEMS,D,3
16541A0217,R1631024,PULSE & DIGITAL CIRCUITS,F,0
16541A0217,R1631025,POWER ELECTRONICS,D,3
16541A0217,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0217,R1631027,CONTROL SYSTEMS LABORATORY,O,2
16541A0217,R1631028,ELECTRICAL MEASUREMENTS LABORATORY,O,2
16541A0218,R1631021,POWER SYSTEMS-II,C,3
16541A0218,R1631022,RENEWABLE ENERGY SOURCES,D,3
16541A0218,R1631023,SIGNALS AND SYSTEMS,F,0
16541A0218,R1631024,PULSE & DIGITAL CIRCUITS,D,3
16541A0218,R1631025,POWER ELECTRONICS,D,3
16541A0218,R1631026,ELECTRICAL MACHINES-II LABORATORY,S,2
16541A0218,R1631027,CONTROL SYSTEMS LABORATORY,O,2
