13541A0421,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,23,32,3
13541A0424,RT22044,EM WAVES AND TRANSMISSION LINES,23,12,0
13541A0429,RT22041,ELECTRONIC CIRCUIT ANALYSIS,23,2,0
13541A0429,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,18,34,3
,,,,,
13541A0433,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,4,0
13541A0436,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,22,28,3
13541A0501,RT22051,PROBABILITY AND STATISTICS,17,28,3
14541A0202,RT22025,ELECTRICAL MACHINES-II,26,28,3
14541A0203,RT22022,SWITCHING THEORY AND LOGIC DESIGN,25,37,3
14541A0206,RT22021,ENVIRONMENTAL STUDIES,24,30,3
14541A0206,RT22024,POWER SYSTEMS-I,28,31,3
14541A0206,RT22025,ELECTRICAL MACHINES-II,27,12,0
14541A0210,RT22025,ELECTRICAL MACHINES-II,19,1,0
14541A0210,RT22026,CONTROL SYSTEMS,24,1,0
14541A0212,RT22021,ENVIRONMENTAL STUDIES,24,30,3
14541A0212,RT22024,POWER SYSTEMS-I,29,31,3
14541A0214,RT22022,SWITCHING THEORY AND LOGIC DESIGN,22,28,3
14541A0214,RT22023,PULSE & DIGITAL CIRCUITS,20,7,0
14541A0214,RT22024,POWER SYSTEMS-I,23,33,3
14541A0214,RT22025,ELECTRICAL MACHINES-II,18,1,0
14541A0214,RT22026,CONTROL SYSTEMS,29,4,0
14541A0216,RT22025,ELECTRICAL MACHINES-II,16,5,0
14541A0216,RT22026,CONTROL SYSTEMS,29,8,0
14541A0218,RT22024,POWER SYSTEMS-I,27,30,3
14541A0218,RT22025,ELECTRICAL MACHINES-II,21,15,0
14541A0219,RT22025,ELECTRICAL MACHINES-II,25,5,0
14541A0221,RT22026,CONTROL SYSTEMS,27,2,0
14541A0222,RT22021,ENVIRONMENTAL STUDIES,15,18,0
14541A0222,RT22024,POWER SYSTEMS-I,28,29,3
14541A0222,RT22025,ELECTRICAL MACHINES-II,26,12,0
14541A0223,RT22024,POWER SYSTEMS-I,25,33,3
14541A0226,RT22023,PULSE & DIGITAL CIRCUITS,22,26,3
14541A0226,RT22025,ELECTRICAL MACHINES-II,20,8,0
14541A0226,RT22026,CONTROL SYSTEMS,27,30,3
14541A0229,RT22021,ENVIRONMENTAL STUDIES,24,32,3
14541A0229,RT22024,POWER SYSTEMS-I,26,35,3
14541A0229,RT22025,ELECTRICAL MACHINES-II,22,10,0
14541A0235,RT22021,ENVIRONMENTAL STUDIES,14,29,3
14541A0235,RT22025,ELECTRICAL MACHINES-II,24,14,0
14541A0236,RT22025,ELECTRICAL MACHINES-II,25,16,0
14541A0238,RT22025,ELECTRICAL MACHINES-II,19,-1,0
14541A0240,RT22025,ELECTRICAL MACHINES-II,15,15,0
14541A0301,RT22033,PRODUCTION TECHNOLOGY,28,12,0
14541A0305,RT22031,KINEMATICS OF MACHINERY,18,7,0
14541A0305,RT22033,PRODUCTION TECHNOLOGY,21,9,0
14541A0306,RT22033,PRODUCTION TECHNOLOGY,28,13,0
14541A0306,RT22035,MACHINE DRAWING,29,5,0
14541A0309,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,19,32,3
14541A0311,RT22033,PRODUCTION TECHNOLOGY,28,13,0
14541A0311,RT22035,MACHINE DRAWING,27,30,3
14541A0313,RT22031,KINEMATICS OF MACHINERY,19,7,0
14541A0315,RT22032,THERMAL ENGINEERING -I,26,34,3
14541A0315,RT22033,PRODUCTION TECHNOLOGY,19,16,0
14541A0315,RT22035,MACHINE DRAWING,19,10,0
14541A0316,RT22033,PRODUCTION TECHNOLOGY,17,9,0
,,,,,
14541A0316,RT22035,MACHINE DRAWING,21,9,0
14541A0317,RT22031,KINEMATICS OF MACHINERY,9,0,0
14541A0317,RT22032,THERMAL ENGINEERING -I,19,4,0
14541A0317,RT22035,MACHINE DRAWING,19,-1,0
14541A0320,RT22033,PRODUCTION TECHNOLOGY,22,2,0
14541A0320,RT22035,MACHINE DRAWING,23,31,3
14541A0322,RT22033,PRODUCTION TECHNOLOGY,23,28,3
14541A0322,RT22035,MACHINE DRAWING,26,29,3
14541A0325,RT22031,KINEMATICS OF MACHINERY,15,10,0
14541A0325,RT22033,PRODUCTION TECHNOLOGY,22,13,0
14541A0325,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,19,30,3
14541A0325,RT22035,MACHINE DRAWING,17,1,0
14541A0326,RT22031,KINEMATICS OF MACHINERY,13,0,0
14541A0326,RT22032,THERMAL ENGINEERING -I,21,29,3
14541A0326,RT22033,PRODUCTION TECHNOLOGY,14,13,0
14541A0326,RT22035,MACHINE DRAWING,26,34,3
14541A0327,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,21,29,3
14541A0328,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,37,3
14541A0328,RT22035,MACHINE DRAWING,23,30,3
14541A0330,RT22031,KINEMATICS OF MACHINERY,16,9,0
14541A0330,RT22033,PRODUCTION TECHNOLOGY,21,15,0
14541A0331,RT22033,PRODUCTION TECHNOLOGY,29,31,3
14541A0331,RT22035,MACHINE DRAWING,30,37,3
14541A0332,RT22031,KINEMATICS OF MACHINERY,18,7,0
14541A0333,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,29,3
14541A0336,RT22031,KINEMATICS OF MACHINERY,25,10,0
14541A0339,RT22033,PRODUCTION TECHNOLOGY,24,-1,0
14541A0339,RT22035,MACHINE DRAWING,26,32,3
14541A0342,RT22032,THERMAL ENGINEERING -I,20,2,0
14541A0343,RT22031,KINEMATICS OF MACHINERY,23,13,0
14541A0344,RT22032,THERMAL ENGINEERING -I,25,9,0
14541A0344,RT22033,PRODUCTION TECHNOLOGY,22,17,0
14541A0345,RT22031,KINEMATICS OF MACHINERY,16,0,0
14541A0348,RT22033,PRODUCTION TECHNOLOGY,30,28,3
14541A0349,RT22032,THERMAL ENGINEERING -I,18,0,0
14541A0349,RT22033,PRODUCTION TECHNOLOGY,17,5,0
14541A0349,RT22035,MACHINE DRAWING,24,13,0
14541A0351,RT22031,KINEMATICS OF MACHINERY,15,4,0
14541A0351,RT22033,PRODUCTION TECHNOLOGY,22,10,0
14541A0351,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,22,37,3
14541A0352,RT22033,PRODUCTION TECHNOLOGY,23,12,0
14541A0352,RT22035,MACHINE DRAWING,24,18,0
14541A0355,RT22031,KINEMATICS OF MACHINERY,11,5,0
14541A0356,RT22033,PRODUCTION TECHNOLOGY,26,28,3
14541A0361,RT22031,KINEMATICS OF MACHINERY,11,1,0
14541A0361,RT22032,THERMAL ENGINEERING -I,21,0,0
14541A0361,RT22033,PRODUCTION TECHNOLOGY,14,5,0
14541A0361,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,5,0
14541A0361,RT22035,MACHINE DRAWING,23,24,3
14541A0363,RT22032,THERMAL ENGINEERING -I,19,9,0
14541A0364,RT22031,KINEMATICS OF MACHINERY,14,0,0
,,,,,
14541A0364,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,15,29,3
14541A0365,RT22033,PRODUCTION TECHNOLOGY,19,17,0
14541A0365,RT22035,MACHINE DRAWING,21,8,0
14541A0366,RT22031,KINEMATICS OF MACHINERY,19,0,0
14541A0366,RT22035,MACHINE DRAWING,22,1,0
14541A0369,RT22031,KINEMATICS OF MACHINERY,17,3,0
14541A0369,RT22033,PRODUCTION TECHNOLOGY,20,11,0
14541A0370,RT22032,THERMAL ENGINEERING -I,18,30,3
14541A0370,RT22033,PRODUCTION TECHNOLOGY,16,3,0
14541A0370,RT22035,MACHINE DRAWING,20,4,0
14541A0371,RT22031,KINEMATICS OF MACHINERY,19,8,0
14541A0373,RT22031,KINEMATICS OF MACHINERY,19,16,0
14541A0374,RT22033,PRODUCTION TECHNOLOGY,20,18,0
14541A0375,RT22031,KINEMATICS OF MACHINERY,15,8,0
