14541A0319,RT22032,THERMAL ENGINEERING -I,22,41,3
14541A0319,RT22033,PRODUCTION TECHNOLOGY,18,48,3
14541A0319,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,21,52,3
14541A0319,RT22035,MACHINE DRAWING,25,17,0
14541A0319,RT22037,PRODUCTION TECHNOLOGY LAB,23,47,2
14541A0319,RT22038,THERMAL ENGINEERING LAB,20,46,2
14541A0320,RT22033,PRODUCTION TECHNOLOGY,22,32,3
14541A0324,RT22035,MACHINE DRAWING,18,10,0
14541A0325,RT22031,KINEMATICS OF MACHINERY,15,23,0
14541A0325,RT22033,PRODUCTION TECHNOLOGY,22,12,0
14541A0325,RT22035,MACHINE DRAWING,17,8,0
14541A0326,RT22031,KINEMATICS OF MACHINERY,13,0,0
14541A0326,RT22033,PRODUCTION TECHNOLOGY,14,14,0
14541A0330,RT22031,KINEMATICS OF MACHINERY,16,30,3
14541A0330,RT22033,PRODUCTION TECHNOLOGY,21,48,3
14541A0332,RT22031,KINEMATICS OF MACHINERY,18,21,0
14541A0335,RT22032,THERMAL ENGINEERING -I,25,3,0
14541A0335,RT22033,PRODUCTION TECHNOLOGY,23,39,3
14541A0342,RT22032,THERMAL ENGINEERING -I,20,27,3
14541A0343,RT22031,KINEMATICS OF MACHINERY,23,36,3
14541A0344,RT22032,THERMAL ENGINEERING -I,25,27,3
14541A0344,RT22033,PRODUCTION TECHNOLOGY,22,24,3
14541A0345,RT22031,KINEMATICS OF MACHINERY,16,17,0
14541A0351,RT22031,KINEMATICS OF MACHINERY,15,35,3
14541A0351,RT22033,PRODUCTION TECHNOLOGY,22,15,0
14541A0352,RT22033,PRODUCTION TECHNOLOGY,23,27,3
14541A0352,RT22035,MACHINE DRAWING,24,35,3
14541A0355,RT22031,KINEMATICS OF MACHINERY,11,18,0
14541A0359,RT22032,THERMAL ENGINEERING -I,23,31,3
14541A0359,RT22033,PRODUCTION TECHNOLOGY,17,33,3
14541A0359,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,10,12,0
14541A0361,RT22031,KINEMATICS OF MACHINERY,11,0,0
14541A0361,RT22032,THERMAL ENGINEERING -I,21,0,0
14541A0361,RT22033,PRODUCTION TECHNOLOGY,14,0,0
14541A0361,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,12,11,0
14541A0363,RT22032,THERMAL ENGINEERING -I,19,7,0
14541A0364,RT22031,KINEMATICS OF MACHINERY,14,9,0
14541A0365,RT22033,PRODUCTION TECHNOLOGY,19,8,0
14541A0365,RT22035,MACHINE DRAWING,21,29,3
14541A0366,RT22031,KINEMATICS OF MACHINERY,19,28,3
14541A0366,RT22035,MACHINE DRAWING,22,24,3
14541A0369,RT22031,KINEMATICS OF MACHINERY,17,9,0
14541A0369,RT22033,PRODUCTION TECHNOLOGY,20,14,0
14541A0370,RT22033,PRODUCTION TECHNOLOGY,16,26,3
14541A0370,RT22035,MACHINE DRAWING,20,6,0
14541A0371,RT22031,KINEMATICS OF MACHINERY,19,9,0
14541A0375,RT22031,KINEMATICS OF MACHINERY,15,20,0
14541A0378,RT22031,KINEMATICS OF MACHINERY,11,5,0
14541A0378,RT22032,THERMAL ENGINEERING -I,18,20,0
14541A0379,RT22031,KINEMATICS OF MACHINERY,13,12,0
14541A0379,RT22032,THERMAL ENGINEERING -I,20,22,0
14541A0379,RT22033,PRODUCTION TECHNOLOGY,20,8,0
14541A0379,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,17,16,0
14541A0379,RT22035,MACHINE DRAWING,28,24,3
14541A0382,RT22031,KINEMATICS OF MACHINERY,16,10,0
14541A0383,RT22031,KINEMATICS OF MACHINERY,10,7,0
14541A0384,RT22031,KINEMATICS OF MACHINERY,20,35,3
14541A0386,RT22031,KINEMATICS OF MACHINERY,18,16,0
14541A0386,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,20,13,0
14541A0386,RT22035,MACHINE DRAWING,18,10,0
14541A0387,RT22035,MACHINE DRAWING,30,11,0
14541A0388,RT22031,KINEMATICS OF MACHINERY,15,12,0
14541A0388,RT22033,PRODUCTION TECHNOLOGY,22,4,0
14541A0388,RT22034,FLUID MECHANICS & HYDRAULIC MACHINERY,16,14,0
14541A0389,RT22033,PRODUCTION TECHNOLOGY,23,31,3
14541A0390,RT22031,KINEMATICS OF MACHINERY,18,13,0
14541A0390,RT22035,MACHINE DRAWING,24,7,0
14541A0391,RT22031,KINEMATICS OF MACHINERY,16,30,3
14541A0394,RT22033,PRODUCTION TECHNOLOGY,22,41,3
14541A0394,RT22035,MACHINE DRAWING,25,24,3
14541A0403,RT22041,ELECTRONIC CIRCUIT ANALYSIS,18,19,0
14541A0403,RT22042,RANDOM VARIABLES & STOCHASTIC PROCESSES,21,28,3
14541A0404,RT22022,SWITCHING THEORY AND LOGIC DESIGN,20,35,3
