14541A0374,RT32031,OPERATIONS RESEARCH,27,29,3
14541A0374,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,4,0
14541A0374,RT32034,ROBOTICS,26,24,3
14541A0375,RT32034,ROBOTICS,20,27,3
14541A0378,RT32031,OPERATIONS RESEARCH,24,2,0
14541A0378,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,15,0
14541A0378,RT32033,DESIGN OF MACHINE MEMBERS  II,19,7,0
14541A0378,RT32034,ROBOTICS,21,46,3
14541A0379,RT32031,OPERATIONS RESEARCH,16,6,0
14541A0379,RT32032,INTERACTIVE COMPUTER GRAPHICS,17,19,0
14541A0379,RT32033,DESIGN OF MACHINE MEMBERS  II,19,9,0
14541A0379,RT32034,ROBOTICS,23,21,0
14541A0382,RT32031,OPERATIONS RESEARCH,26,10,0
14541A0382,RT32033,DESIGN OF MACHINE MEMBERS  II,18,7,0
14541A0382,RT32034,ROBOTICS,23,12,0
14541A0382,RT32037A,REFRIGERATION & AIR CONDITIONING,16,18,0
14541A0383,RT32031,OPERATIONS RESEARCH,22,12,0
14541A0383,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,11,0
14541A0383,RT32033,DESIGN OF MACHINE MEMBERS  II,18,26,3
14541A0385,RT32032,INTERACTIVE COMPUTER GRAPHICS,21,4,0
14541A0386,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,19,32,3
14541A0386,RT32037A,REFRIGERATION & AIR CONDITIONING,18,16,0
14541A0387,RT32037A,REFRIGERATION & AIR CONDITIONING,17,27,3
14541A0388,RT32032,INTERACTIVE COMPUTER GRAPHICS,18,28,3
14541A0388,RT32034,ROBOTICS,23,29,3
14541A0389,RT32031,OPERATIONS RESEARCH,27,28,3
14541A0403,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,24,26,3
14541A0410,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,16,0
14541A0410,RT32045A,BIO MEDICAL ENGINEERING,16,37,3
14541A0417,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,23,0
14541A0417,RT32044,MICROWAVE ENGINEERING,21,13,0
14541A0422,RT32045A,BIO MEDICAL ENGINEERING,16,53,3
14541A0434,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,27,8,0
14541A0435,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,21,0,0
14541A0435,RT32044,MICROWAVE ENGINEERING,19,13,0
14541A0436,RT32042,DIGITAL SIGNAL PROCESSING,25,20,0
14541A0440,RT32043,DIGITAL COMMUNICATIONS,26,33,3
14541A0456,RT32043,DIGITAL COMMUNICATIONS,25,17,0
14541A0463,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,19,14,0
14541A0463,RT32044,MICROWAVE ENGINEERING,18,19,0
14541A0466,RT32042,DIGITAL SIGNAL PROCESSING,20,12,0
14541A0466,RT32043,DIGITAL COMMUNICATIONS,26,21,0
14541A0466,RT32044,MICROWAVE ENGINEERING,21,17,0
14541A0466,RT32045A,BIO MEDICAL ENGINEERING,18,12,0
14541A0472,RT32043,DIGITAL COMMUNICATIONS,25,5,0
14541A0473,RT32044,MICROWAVE ENGINEERING,20,6,0
14541A0473,RT32045A,BIO MEDICAL ENGINEERING,10,38,3
14541A0479,RT32045A,BIO MEDICAL ENGINEERING,17,61,3
14541A0482,RT32041,MICROPROCESSORS AND MICROCONTROLLERS,23,16,0
14541A0506,RT32051,SOFTWARE ENGINEERING,23,32,3
14541A0506,RT32055,WEB TECHNOLOGIES,22,26,3
14541A0510,RT32051,SOFTWARE ENGINEERING,23,35,3
14541A0523,RT32055,WEB TECHNOLOGIES,18,19,0
14541A0525,RT32057,COMPUTER NETWORKS AND NETWORK PROGRAMMING,15,45,2
14541A0525,RT32058,SOFTWARE ENGINEERING LAB,15,46,2
14541A0525,RT32059,WEB TECHNOLOGIES LAB,15,45,2
14541A0533,RT32055,WEB TECHNOLOGIES,16,11,0
14541A0534,RT32055,WEB TECHNOLOGIES,22,36,3
14541A0547,RT32055,WEB TECHNOLOGIES,20,40,3
14541A0549,RT32055,WEB TECHNOLOGIES,22,22,0
14545A0215,RT32024,POWER SYSTEM ANALYSIS,21,17,0
14545A0305,RT32032,INTERACTIVE COMPUTER GRAPHICS,16,-1,0
14545A0305,RT32037A,REFRIGERATION & AIR CONDITIONING,19,-1,0
14545A0401,RT32042,DIGITAL SIGNAL PROCESSING,23,27,3
14545A0403,RT32043,DIGITAL COMMUNICATIONS,19,30,3
14545A0407,RT32042,DIGITAL SIGNAL PROCESSING,23,17,0
14545A0409,RT32042,DIGITAL SIGNAL PROCESSING,20,13,0
14545A0409,RT32043,DIGITAL COMMUNICATIONS,18,5,0
14545A0409,RT32045A,BIO MEDICAL ENGINEERING,18,5,0
14545A0410,RT32042,DIGITAL SIGNAL PROCESSING,19,6,0
14545A0410,RT32045A,BIO MEDICAL ENGINEERING,21,13,0
14545A0412,RT32043,DIGITAL COMMUNICATIONS,21,16,0
14545A0415,RT32042,DIGITAL SIGNAL PROCESSING,21,12,0
14545A0415,RT32043,DIGITAL COMMUNICATIONS,20,11,0
14545A0415,RT32045A,BIO MEDICAL ENGINEERING,17,32,3
147E5A0306,RT32031,OPERATIONS RESEARCH,22,14,0
147E5A0306,RT32032,INTERACTIVE COMPUTER GRAPHICS,15,15,0
147E5A0306,RT32033,DESIGN OF MACHINE MEMBERS  II,21,7,0
147E5A0306,RT32034,ROBOTICS,10,4,0
147E5A0306,RT32035,HEAT TRANSFER,16,0,0
147E5A0306,RT32036,INDUSTRIAL ENGINEERING MANAGEMENT,15,45,3
147E5A0306,RT32037A,REFRIGERATION & AIR CONDITIONING,17,6,0
147E5A0306,RT32038,HEAT TRANSFER LAB,20,44,2
14PA1A0262,RT32021,MICROPROCESSORS & MICROCONTROLLERS,19,14,0
14PA1A0262,RT32022,SWITCHGEAR AND PROTECTION,16,9,0
14PA1A0262,RT32023,UTILIZATION OF ELECTRICAL ENERGY,19,36,3
14PA1A0262,RT32024,POWER SYSTEM ANALYSIS,26,0,0
14PA1A0262,RT32025,MANAGEMENT SCIENCE,22,32,3
14PA1A0262,RT32026,POWER SEMICONDUCTOR DRIVES,19,3,0
14PA1A0262,RT32027,POWER ELECTRONICS LAB,22,43,2
14PA1A0262,RT32028,ELECTRICAL MEASUREMENTS LAB,20,46,2
15541A0201,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,45,3
15541A0201,RT32022,SWITCHGEAR AND PROTECTION,22,36,3
15541A0201,RT32023,UTILIZATION OF ELECTRICAL ENERGY,21,48,3
15541A0201,RT32024,POWER SYSTEM ANALYSIS,28,24,3
15541A0201,RT32025,MANAGEMENT SCIENCE,27,38,3
15541A0201,RT32026,POWER SEMICONDUCTOR DRIVES,21,31,3
15541A0201,RT32027,POWER ELECTRONICS LAB,23,46,2
15541A0201,RT32028,ELECTRICAL MEASUREMENTS LAB,22,48,2
15541A0202,RT32021,MICROPROCESSORS & MICROCONTROLLERS,21,14,0
15541A0202,RT32022,SWITCHGEAR AND PROTECTION,20,32,3
15541A0202,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,28,3
15541A0202,RT32024,POWER SYSTEM ANALYSIS,30,25,3
15541A0202,RT32025,MANAGEMENT SCIENCE,26,49,3
15541A0202,RT32026,POWER SEMICONDUCTOR DRIVES,26,33,3
15541A0202,RT32027,POWER ELECTRONICS LAB,23,45,2
15541A0202,RT32028,ELECTRICAL MEASUREMENTS LAB,25,46,2
15541A0203,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,17,0
15541A0203,RT32022,SWITCHGEAR AND PROTECTION,25,40,3
15541A0203,RT32023,UTILIZATION OF ELECTRICAL ENERGY,22,5,0
15541A0203,RT32024,POWER SYSTEM ANALYSIS,23,28,3
15541A0203,RT32025,MANAGEMENT SCIENCE,19,49,3
15541A0203,RT32026,POWER SEMICONDUCTOR DRIVES,24,25,3
15541A0203,RT32027,POWER ELECTRONICS LAB,23,47,2
15541A0203,RT32028,ELECTRICAL MEASUREMENTS LAB,25,48,2
15541A0204,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,30,3
15541A0204,RT32022,SWITCHGEAR AND PROTECTION,24,48,3
15541A0204,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,35,3
15541A0204,RT32024,POWER SYSTEM ANALYSIS,28,24,3
15541A0204,RT32025,MANAGEMENT SCIENCE,24,50,3
15541A0204,RT32026,POWER SEMICONDUCTOR DRIVES,21,11,0
15541A0204,RT32027,POWER ELECTRONICS LAB,23,46,2
15541A0204,RT32028,ELECTRICAL MEASUREMENTS LAB,25,46,2
15541A0205,RT32021,MICROPROCESSORS & MICROCONTROLLERS,26,34,3
15541A0205,RT32022,SWITCHGEAR AND PROTECTION,24,33,3
15541A0205,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,45,3
15541A0205,RT32024,POWER SYSTEM ANALYSIS,26,38,3
15541A0205,RT32025,MANAGEMENT SCIENCE,26,38,3
15541A0205,RT32026,POWER SEMICONDUCTOR DRIVES,25,17,0
15541A0205,RT32027,POWER ELECTRONICS LAB,23,46,2
15541A0205,RT32028,ELECTRICAL MEASUREMENTS LAB,25,48,2
15541A0206,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,27,3
15541A0206,RT32022,SWITCHGEAR AND PROTECTION,20,24,3
15541A0206,RT32023,UTILIZATION OF ELECTRICAL ENERGY,18,29,3
15541A0206,RT32024,POWER SYSTEM ANALYSIS,26,13,0
15541A0206,RT32025,MANAGEMENT SCIENCE,23,38,3
15541A0206,RT32026,POWER SEMICONDUCTOR DRIVES,18,34,3
15541A0206,RT32027,POWER ELECTRONICS LAB,23,48,2
