14541A0206,RT32026,POWER SEMICONDUCTOR DRIVES,21,46,3
14541A0206,RT32027,POWER ELECTRONICS LAB,23,46,2
14541A0206,RT32028,ELECTRICAL MEASUREMENTS LAB,20,47,2
14541A0209,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,17,0
14541A0209,RT32022,SWITCHGEAR AND PROTECTION,23,35,3
14541A0209,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,51,3
14541A0209,RT32024,POWER SYSTEM ANALYSIS,27,32,3
14541A0209,RT32025,MANAGEMENT SCIENCE,25,47,3
14541A0209,RT32026,POWER SEMICONDUCTOR DRIVES,27,34,3
14541A0209,RT32027,POWER ELECTRONICS LAB,23,46,2
14541A0209,RT32028,ELECTRICAL MEASUREMENTS LAB,23,46,2
14541A0210,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,14,0
14541A0210,RT32022,SWITCHGEAR AND PROTECTION,21,7,0
14541A0210,RT32023,UTILIZATION OF ELECTRICAL ENERGY,20,6,0
14541A0210,RT32024,POWER SYSTEM ANALYSIS,29,28,3
14541A0210,RT32025,MANAGEMENT SCIENCE,23,43,3
14541A0210,RT32026,POWER SEMICONDUCTOR DRIVES,17,14,0
14541A0210,RT32027,POWER ELECTRONICS LAB,23,47,2
14541A0210,RT32028,ELECTRICAL MEASUREMENTS LAB,23,47,2
14541A0211,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,44,3
14541A0211,RT32022,SWITCHGEAR AND PROTECTION,22,26,3
14541A0211,RT32023,UTILIZATION OF ELECTRICAL ENERGY,22,41,3
14541A0211,RT32024,POWER SYSTEM ANALYSIS,28,50,3
14541A0211,RT32025,MANAGEMENT SCIENCE,25,56,3
14541A0211,RT32026,POWER SEMICONDUCTOR DRIVES,25,36,3
14541A0211,RT32027,POWER ELECTRONICS LAB,23,46,2
14541A0211,RT32028,ELECTRICAL MEASUREMENTS LAB,22,46,2
14541A0212,RT32021,MICROPROCESSORS & MICROCONTROLLERS,21,24,3
14541A0212,RT32022,SWITCHGEAR AND PROTECTION,23,36,3
14541A0212,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,65,3
14541A0212,RT32024,POWER SYSTEM ANALYSIS,27,32,3
14541A0212,RT32025,MANAGEMENT SCIENCE,25,33,3
14541A0212,RT32026,POWER SEMICONDUCTOR DRIVES,21,44,3
14541A0212,RT32027,POWER ELECTRONICS LAB,25,48,2
14541A0212,RT32028,ELECTRICAL MEASUREMENTS LAB,23,49,2
14541A0214,RT32021,MICROPROCESSORS & MICROCONTROLLERS,20,32,3
14541A0214,RT32022,SWITCHGEAR AND PROTECTION,22,8,0
14541A0214,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,42,3
14541A0214,RT32024,POWER SYSTEM ANALYSIS,20,35,3
14541A0214,RT32025,MANAGEMENT SCIENCE,20,48,3
14541A0214,RT32026,POWER SEMICONDUCTOR DRIVES,20,17,0
14541A0214,RT32027,POWER ELECTRONICS LAB,24,47,2
14541A0214,RT32028,ELECTRICAL MEASUREMENTS LAB,23,46,2
14541A0215,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,13,0
14541A0215,RT32022,SWITCHGEAR AND PROTECTION,24,24,3
14541A0215,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,25,3
14541A0215,RT32024,POWER SYSTEM ANALYSIS,25,40,3
14541A0215,RT32025,MANAGEMENT SCIENCE,26,45,3
14541A0215,RT32026,POWER SEMICONDUCTOR DRIVES,19,34,3
14541A0215,RT32027,POWER ELECTRONICS LAB,24,47,2
14541A0215,RT32028,ELECTRICAL MEASUREMENTS LAB,23,47,2
14541A0216,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,41,3
14541A0216,RT32022,SWITCHGEAR AND PROTECTION,20,10,0
14541A0216,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,39,3
14541A0216,RT32024,POWER SYSTEM ANALYSIS,28,36,3
14541A0216,RT32025,MANAGEMENT SCIENCE,25,39,3
14541A0216,RT32026,POWER SEMICONDUCTOR DRIVES,22,25,3
14541A0216,RT32027,POWER ELECTRONICS LAB,24,42,2
14541A0216,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2
14541A0218,RT32021,MICROPROCESSORS & MICROCONTROLLERS,19,26,3
14541A0218,RT32022,SWITCHGEAR AND PROTECTION,24,35,3
14541A0218,RT32023,UTILIZATION OF ELECTRICAL ENERGY,27,57,3
14541A0218,RT32024,POWER SYSTEM ANALYSIS,27,42,3
14541A0218,RT32025,MANAGEMENT SCIENCE,23,25,3
14541A0218,RT32026,POWER SEMICONDUCTOR DRIVES,20,-1,0
14541A0218,RT32027,POWER ELECTRONICS LAB,24,42,2
14541A0218,RT32028,ELECTRICAL MEASUREMENTS LAB,23,48,2
14541A0219,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,12,0
14541A0219,RT32022,SWITCHGEAR AND PROTECTION,19,28,3
14541A0219,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,56,3
14541A0219,RT32024,POWER SYSTEM ANALYSIS,28,31,3
14541A0219,RT32025,MANAGEMENT SCIENCE,25,50,3
14541A0219,RT32026,POWER SEMICONDUCTOR DRIVES,20,34,3
14541A0219,RT32027,POWER ELECTRONICS LAB,23,42,2
14541A0219,RT32028,ELECTRICAL MEASUREMENTS LAB,20,46,2
14541A0221,RT32021,MICROPROCESSORS & MICROCONTROLLERS,19,0,0
14541A0221,RT32022,SWITCHGEAR AND PROTECTION,16,18,0
14541A0221,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,3,0
14541A0221,RT32024,POWER SYSTEM ANALYSIS,22,13,0
14541A0221,RT32025,MANAGEMENT SCIENCE,18,37,3
14541A0221,RT32026,POWER SEMICONDUCTOR DRIVES,17,-1,0
14541A0221,RT32027,POWER ELECTRONICS LAB,23,43,2
14541A0221,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2
14541A0222,RT32021,MICROPROCESSORS & MICROCONTROLLERS,24,33,3
14541A0222,RT32022,SWITCHGEAR AND PROTECTION,18,1,0
14541A0222,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,34,3
14541A0222,RT32024,POWER SYSTEM ANALYSIS,27,32,3
14541A0222,RT32025,MANAGEMENT SCIENCE,25,51,3
14541A0222,RT32026,POWER SEMICONDUCTOR DRIVES,20,27,3
14541A0222,RT32027,POWER ELECTRONICS LAB,24,42,2
14541A0222,RT32028,ELECTRICAL MEASUREMENTS LAB,22,48,2
14541A0223,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,25,3
14541A0223,RT32022,SWITCHGEAR AND PROTECTION,21,28,3
14541A0223,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,53,3
14541A0223,RT32024,POWER SYSTEM ANALYSIS,28,36,3
14541A0223,RT32025,MANAGEMENT SCIENCE,26,26,3
14541A0223,RT32026,POWER SEMICONDUCTOR DRIVES,21,35,3
14541A0223,RT32027,POWER ELECTRONICS LAB,23,46,2
14541A0223,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2
14541A0224,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,41,3
14541A0224,RT32022,SWITCHGEAR AND PROTECTION,22,38,3
