95722,122E1A0509,R42052,HUMAN COMPUTER INTERACTION (COMMON TO CSE &,21,39,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95723,122E1A0509,R42059,INFORMATION RETRIEVAL SYSTEMS,14,12,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95724,122E1A0509,R4205G,E- COMMERCE (COMMON TO CSE & IT),24,37,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95725,122E1A0509,R4205H,PROJECT,48,149,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95726,122E1A0517,R42051,DISTRIBUTED SYSTEMS,25,39,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95727,122E1A0517,R42052,HUMAN COMPUTER INTERACTION (COMMON TO CSE &,19,31,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95728,122E1A0517,R42059,INFORMATION RETRIEVAL SYSTEMS,13,12,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95729,122E1A0517,R4205G,E- COMMERCE (COMMON TO CSE & IT),22,36,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95730,122E1A0517,R4205H,PROJECT,48,147,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95731,122E1A0518,R42051,DISTRIBUTED SYSTEMS,24,47,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95732,122E1A0518,R42052,HUMAN COMPUTER INTERACTION (COMMON TO CSE &,20,26,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95733,122E1A0518,R42059,INFORMATION RETRIEVAL SYSTEMS,15,28,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95734,122E1A0518,R4205G,E- COMMERCE (COMMON TO CSE & IT),23,43,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95735,122E1A0518,R4205H,PROJECT,47,147,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95736,122E1A0526,R42051,DISTRIBUTED SYSTEMS,16,34,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95737,122E1A0526,R42052,HUMAN COMPUTER INTERACTION (COMMON TO CSE &,15,33,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95738,122E1A0526,R42059,INFORMATION RETRIEVAL SYSTEMS,13,32,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95739,122E1A0526,R4205G,E- COMMERCE (COMMON TO CSE & IT),16,42,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95740,122E1A0526,R4205H,PROJECT,49,150,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95741,122E1A0527,R42051,DISTRIBUTED SYSTEMS,19,41,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95742,122E1A0527,R42052,HUMAN COMPUTER INTERACTION (COMMON TO CSE &,17,33,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95743,122E1A0527,R42059,INFORMATION RETRIEVAL SYSTEMS,19,32,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95744,122E1A0527,R4205G,E- COMMERCE (COMMON TO CSE & IT),23,42,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95745,122E1A0527,R4205H,PROJECT,49,149,12,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95746,12541A0201,R42021,DIGITAL CONTROL SYSTEMS,23,10,0,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
95747,12541A0201,R42024,SPECIAL ELECTRICAL MACHINES,20,45,4,42,Results For IV B.TECH II Semester Regular/Supplementary Examinations Apr-2016
