74056,13541A0421,RT32042,DIGITAL SIGNAL PROCESSING,20,18,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74057,13541A0424,RT32045A,BIO MEDICAL ENGINEERING,18,28,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74058,13541A0428,RT32045A,BIO MEDICAL ENGINEERING,16,16,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74059,13541A0433,RT32042,DIGITAL SIGNAL PROCESSING,14,11,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74060,13541A0436,RT32045A,BIO MEDICAL ENGINEERING,19,28,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74061,13541A0502,RT32051,SOFTWARE ENGINEERING,19,0,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74062,13541A0502,RT32052,DATA WARE HOUSING AND MINING,17,0,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74063,13541A0502,RT32053,COMPUTER NETWORKS,18,7,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74064,13541A0502,RT32054,DESIGN AND ANALYSIS OF ALGORITHMS,17,13,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74065,13541A0502,RT32055,WEB TECHNOLOGIES,18,5,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74066,13541A0502,RT32056,IPR AND PATENTS,19,21,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74067,13541A0502,RT32057,COMPUTER NETWORKS AND NETWORK PROGRAMMING,22,45,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74068,13541A0502,RT32058,SOFTWARE ENGINEERING LAB,22,45,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74069,13541A0502,RT32059,WEB TECHNOLOGIES LAB,20,45,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74070,13545A0414,R32043,DIGITAL SIGNAL PROCESSING,12,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74071,13545A0414,R32044,MICROPROCESSORS AND MICROCONTROLLERSS,24,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74072,13545A0414,R32045,VLSI DESIGN,19,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74073,14541A0202,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,49,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74074,14541A0202,RT32022,SWITCHGEAR AND PROTECTION,28,30,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74075,14541A0202,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,39,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74076,14541A0202,RT32024,POWER SYSTEM ANALYSIS,28,43,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74077,14541A0202,RT32025,MANAGEMENT SCIENCE,25,57,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74078,14541A0202,RT32026,POWER SEMICONDUCTOR DRIVES,24,31,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74079,14541A0202,RT32027,POWER ELECTRONICS LAB,25,49,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74080,14541A0202,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74081,14541A0203,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,26,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74082,14541A0203,RT32022,SWITCHGEAR AND PROTECTION,23,24,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74083,14541A0203,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,24,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74084,14541A0203,RT32024,POWER SYSTEM ANALYSIS,29,35,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74085,14541A0203,RT32025,MANAGEMENT SCIENCE,24,34,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74086,14541A0203,RT32026,POWER SEMICONDUCTOR DRIVES,18,13,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74087,14541A0203,RT32027,POWER ELECTRONICS LAB,23,42,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74088,14541A0203,RT32028,ELECTRICAL MEASUREMENTS LAB,23,45,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74089,14541A0205,RT32021,MICROPROCESSORS & MICROCONTROLLERS,27,38,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74090,14541A0205,RT32022,SWITCHGEAR AND PROTECTION,24,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74091,14541A0205,RT32023,UTILIZATION OF ELECTRICAL ENERGY,26,27,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74092,14541A0205,RT32024,POWER SYSTEM ANALYSIS,30,36,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74093,14541A0205,RT32025,MANAGEMENT SCIENCE,21,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74094,14541A0205,RT32026,POWER SEMICONDUCTOR DRIVES,21,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74095,14541A0205,RT32027,POWER ELECTRONICS LAB,24,48,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74096,14541A0205,RT32028,ELECTRICAL MEASUREMENTS LAB,24,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74097,14541A0206,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74098,14541A0206,RT32022,SWITCHGEAR AND PROTECTION,24,38,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74099,14541A0206,RT32023,UTILIZATION OF ELECTRICAL ENERGY,25,50,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74100,14541A0206,RT32024,POWER SYSTEM ANALYSIS,30,17,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74101,14541A0206,RT32025,MANAGEMENT SCIENCE,25,41,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74102,14541A0206,RT32026,POWER SEMICONDUCTOR DRIVES,21,46,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74103,14541A0206,RT32027,POWER ELECTRONICS LAB,23,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74104,14541A0206,RT32028,ELECTRICAL MEASUREMENTS LAB,20,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74105,14541A0209,RT32021,MICROPROCESSORS & MICROCONTROLLERS,22,17,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74106,14541A0209,RT32022,SWITCHGEAR AND PROTECTION,23,35,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74107,14541A0209,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,51,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74108,14541A0209,RT32024,POWER SYSTEM ANALYSIS,27,32,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74109,14541A0209,RT32025,MANAGEMENT SCIENCE,25,47,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74110,14541A0209,RT32026,POWER SEMICONDUCTOR DRIVES,27,34,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74111,14541A0209,RT32027,POWER ELECTRONICS LAB,23,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74112,14541A0209,RT32028,ELECTRICAL MEASUREMENTS LAB,23,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74113,14541A0210,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,14,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74114,14541A0210,RT32022,SWITCHGEAR AND PROTECTION,21,7,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74115,14541A0210,RT32023,UTILIZATION OF ELECTRICAL ENERGY,20,6,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74116,14541A0210,RT32024,POWER SYSTEM ANALYSIS,29,28,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74117,14541A0210,RT32025,MANAGEMENT SCIENCE,23,43,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74118,14541A0210,RT32026,POWER SEMICONDUCTOR DRIVES,17,14,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74119,14541A0210,RT32027,POWER ELECTRONICS LAB,23,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74120,14541A0210,RT32028,ELECTRICAL MEASUREMENTS LAB,23,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74121,14541A0211,RT32021,MICROPROCESSORS & MICROCONTROLLERS,25,44,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74122,14541A0211,RT32022,SWITCHGEAR AND PROTECTION,22,26,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74123,14541A0211,RT32023,UTILIZATION OF ELECTRICAL ENERGY,22,41,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74124,14541A0211,RT32024,POWER SYSTEM ANALYSIS,28,50,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74125,14541A0211,RT32025,MANAGEMENT SCIENCE,25,56,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74126,14541A0211,RT32026,POWER SEMICONDUCTOR DRIVES,25,36,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74127,14541A0211,RT32027,POWER ELECTRONICS LAB,23,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74128,14541A0211,RT32028,ELECTRICAL MEASUREMENTS LAB,22,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74129,14541A0212,RT32021,MICROPROCESSORS & MICROCONTROLLERS,21,24,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74130,14541A0212,RT32022,SWITCHGEAR AND PROTECTION,23,36,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74131,14541A0212,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,65,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74132,14541A0212,RT32024,POWER SYSTEM ANALYSIS,27,32,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74133,14541A0212,RT32025,MANAGEMENT SCIENCE,25,33,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74134,14541A0212,RT32026,POWER SEMICONDUCTOR DRIVES,21,44,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74135,14541A0212,RT32027,POWER ELECTRONICS LAB,25,48,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74136,14541A0212,RT32028,ELECTRICAL MEASUREMENTS LAB,23,49,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74137,14541A0214,RT32021,MICROPROCESSORS & MICROCONTROLLERS,20,32,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74138,14541A0214,RT32022,SWITCHGEAR AND PROTECTION,22,8,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74139,14541A0214,RT32023,UTILIZATION OF ELECTRICAL ENERGY,24,42,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74140,14541A0214,RT32024,POWER SYSTEM ANALYSIS,20,35,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74141,14541A0214,RT32025,MANAGEMENT SCIENCE,20,48,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74142,14541A0214,RT32026,POWER SEMICONDUCTOR DRIVES,20,17,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74143,14541A0214,RT32027,POWER ELECTRONICS LAB,24,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74144,14541A0214,RT32028,ELECTRICAL MEASUREMENTS LAB,23,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74145,14541A0215,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,13,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74146,14541A0215,RT32022,SWITCHGEAR AND PROTECTION,24,24,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74147,14541A0215,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74148,14541A0215,RT32024,POWER SYSTEM ANALYSIS,25,40,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74149,14541A0215,RT32025,MANAGEMENT SCIENCE,26,45,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74150,14541A0215,RT32026,POWER SEMICONDUCTOR DRIVES,19,34,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74151,14541A0215,RT32027,POWER ELECTRONICS LAB,24,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74152,14541A0215,RT32028,ELECTRICAL MEASUREMENTS LAB,23,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74153,14541A0216,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,41,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74154,14541A0216,RT32022,SWITCHGEAR AND PROTECTION,20,10,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74155,14541A0216,RT32023,UTILIZATION OF ELECTRICAL ENERGY,28,39,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74156,14541A0216,RT32024,POWER SYSTEM ANALYSIS,28,36,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74157,14541A0216,RT32025,MANAGEMENT SCIENCE,25,39,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74158,14541A0216,RT32026,POWER SEMICONDUCTOR DRIVES,22,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74159,14541A0216,RT32027,POWER ELECTRONICS LAB,24,42,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74160,14541A0216,RT32028,ELECTRICAL MEASUREMENTS LAB,22,47,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74161,14541A0218,RT32021,MICROPROCESSORS & MICROCONTROLLERS,19,26,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74162,14541A0218,RT32022,SWITCHGEAR AND PROTECTION,24,35,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74163,14541A0218,RT32023,UTILIZATION OF ELECTRICAL ENERGY,27,57,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74164,14541A0218,RT32024,POWER SYSTEM ANALYSIS,27,42,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74165,14541A0218,RT32025,MANAGEMENT SCIENCE,23,25,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74166,14541A0218,RT32026,POWER SEMICONDUCTOR DRIVES,20,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74167,14541A0218,RT32027,POWER ELECTRONICS LAB,24,42,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74168,14541A0218,RT32028,ELECTRICAL MEASUREMENTS LAB,23,48,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74169,14541A0219,RT32021,MICROPROCESSORS & MICROCONTROLLERS,23,12,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74170,14541A0219,RT32022,SWITCHGEAR AND PROTECTION,19,28,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74171,14541A0219,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,56,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74172,14541A0219,RT32024,POWER SYSTEM ANALYSIS,28,31,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74173,14541A0219,RT32025,MANAGEMENT SCIENCE,25,50,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74174,14541A0219,RT32026,POWER SEMICONDUCTOR DRIVES,20,34,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74175,14541A0219,RT32027,POWER ELECTRONICS LAB,23,42,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74176,14541A0219,RT32028,ELECTRICAL MEASUREMENTS LAB,20,46,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74177,14541A0221,RT32021,MICROPROCESSORS & MICROCONTROLLERS,19,0,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74178,14541A0221,RT32022,SWITCHGEAR AND PROTECTION,16,18,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74179,14541A0221,RT32023,UTILIZATION OF ELECTRICAL ENERGY,23,3,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74180,14541A0221,RT32024,POWER SYSTEM ANALYSIS,22,13,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74181,14541A0221,RT32025,MANAGEMENT SCIENCE,18,37,3,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74182,14541A0221,RT32026,POWER SEMICONDUCTOR DRIVES,17,-1,0,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
74183,14541A0221,RT32027,POWER ELECTRONICS LAB,23,43,2,32,Results For III B.TECH II Semester Regular/Supplementary Examinations May-2017
